id,"title","description","adress",one,two,three
1,"Dariuz works wegwijzer","De Dariuz Works Wegwijzer maakt het mogelijk slimme beleidskeuzes te maken ten aanzien van alle cliënten in het bestand. De Wegwijzer geeft op een methodische manier inzicht in het arbeidspotentieel van het individu en de totale populatie. U kunt daarmee op basis van inzicht keuzes maken op welke manier energie en middelen zo efficiënt en effectief mogelijk geïnvesteerd kunnen worden.","http://www.dariuz.nl/dariuz-works/intake-matching/dariuz-works-wegwijzer/",1,1,1
2,"Fit4Work","Fit4Work (F4W) is een aanpak die werk vooropstelt en niet de aandoening. De re-integratieconsulent heeft daarom de regie. Na een intake met de Zelfredzaamheidsmatrix en de Participatieladder legt de casemanager in een interdisciplinair overleg verbinding tussen zorg, welzijn en werk. Onder het motto 'werk als medicijn' gaat de aanpak in eerste instantie eigenlijk volledig voorbij aan de aandoening door direct in te zetten op een werkervaringsplaats. Juist door ervaring op de werkvloer te ondergaan worden de psychische beperkingen duidelijk.","http://www.fit-4-work.nl/",1,1,1
3,"Dariuz Works e-portfolio","Clienten kunnen, al dan niet ondersteund  door hun consulent, zelf aan de slag in het Dariuz Works® E-portfolio. Bemiddelbare cliënten kunnen hier onder andere hun C.V. verder uit werken, zich oriënteren op de arbeidsmarkt en zoeken naar geschikte vacatures. Minder goed bemiddelbare cliënten kunnen ook in het E-portfolio aan de slag, maar bij hen zal de nadruk sterker liggen op ontwikkelactiviteiten, al dan niet onder begeleiding van hun consulent. Hierbij kan onder andere het Dariuz Works® Assessment ingezet worden om de arbeidsontwikkeling van cliënten in kaart te brengen en te volgen.","http://www.dariuz.nl/dariuz-works/intake-matching/dariuz-works-e-portfolio/",1,1,0
4,"Dariuz Works Matching","2TTM is een matchingsinstrument op basis van competenties om mensen vanuit een ontwikkeltraject duurzaam uit te plaatsen in een reguliere baan. Het aanbod van beschikbare medewerkers wordt automatisch gevuld met medewerkers bij wie een Dariuz Works® Assessment is afgenomen. Dit aanbod wordt gematcht met competentieprofielen, die consulenten en/of werkgevers zelf eenvoudig online kunnen aanmaken. Deze manier van matchen zorgt ervoor dat consulenten sneller en effectiever passend werk voor hun cliënten kunnen vinden. Tegelijk helpt het werkgevers om invulling te geven aan hun MVO doelstellingen, doordat zij direct kunnen zien welke medewerkers passen bij de functie(s) die zij beschikbaar hebben.","http://www.dariuz.nl/dariuz-works/ontwikkeling-duurzame-plaatsing/dariuz-works-matching/",1,1,0
5,"doenwatjekan.nl/ Jobability vragenlijst arbeidsvermogen","Job Ability heeft, deels in samenwerking met o.a. de gemeenten Delft en Den Haag en het Praktijkonderwijs en Voortgezet Speciaal Onderwijs, digitale vragenlijsten ontwikkeld, die op eenvoudige wijze een aanvraag kunnen ondersteunen. Deze vragenlijst geeft ondersteuning bij het aanvragen van een toets abeidsvermogen bij het UVW. ","https://www.doenwatjekan.nl/index.php/11-voorpagina",1,1,0
6,"doenwatjekan.nl/ Jobability vragenlijst werknemers-vaardigheden","Job Ability heeft, deels in samenwerking met o.a. de gemeenten Delft en Den Haag en het Praktijkonderwijs en Voortgezet Speciaal Onderwijs, digitale vragenlijsten ontwikkeld, die op eenvoudige wijze een aanvraag kunnen ondersteunen.","https://www.doenwatjekan.nl/index.php/11-voorpagina",1,1,0
7,"Heft in eigen handen","Heft in Eigen Handen is een computerprogramma dat mensen zelfstandig kunnen gebruiken en is.ontwikkeld om arbeidstoeleiding op scholen voor Voortgezet Speciaal Onderwijs en Praktijkonderwijs te structureren.  Gebruikers verkennen hierin hun drijfveren, arbeidscompetenties en beroepswensen. Meegevoerd door het computerscherm gaan zij op een ontdekkingsreis naar zichzelf en naar hun verhouding tot de arbeidsmarkt. Ook anderen kunnen online feedback geven.","http://www.interventiesnaarwerk.nl/interventies/heft-eigen-handen",1,1,0
8,"INVRA","INVRA staat voor Inventarisatie Van Redzaamheid Aspecten. De INVRA Arbeid brengt competenties in beeld die iemand in een werkomgeving gebruikt óf nodig heeft. Het is een digitaal meetinstrument om in kaart te brengen wat iemand kan en wat op een werkplek vereist/gewenst is.","http://www.invra.nl/",1,1,0
9,"IPS","IPS (Individuele Plaatsing en Steun) is een arbeidsrehabilitatiemethodiek die er speciaal op gericht  is om mensen met een psychiatrische ziekte toe te leiden naar betaald werk. De IPS consulent maakt deel uit van een behandelteam en ondersteunt indien nodig en eventueel langdurig bij het zoeken naar een baan, bij het plaatsen en tijdens het werk zelf.  ","https://www.trimbos.nl/themas/langdurige-ggz-erkenning-interventies/effectieve-interventies-ips",1,1,0
10,"Kansopstage.nl","Kans op stage laat zien wat de kans is om een stage of leerbaan te vinden voor de bijna 500 verschillende beroepsopleidingen in het mbo. De kans toont of studenten dit jaar moeilijk of gemakkelijk een stage of leerbaan kunnen vinden. De website laat de kansen per opleiding zien voor de 35 verschillende arbeidsmarktregio's. Deze informatie wordt ieder jaar vernieuwd. ","https://www.s-bb.nl/feiten-en-cijfers/kans-op-stage",1,1,0
