id,"title","description","adress"
1,"www.borisbaan.nl","null","http://www.borisbaan.nl"
2,"www.lecso.nl","(NULL)","http://www.lecso.nl"
3,"www.vng.nl","(NULL)","http://www.vng.nl"
4,"www.vobc.nu"," ","http://www.vobc.nu"
5,"www.lcr.nl"," ","http://www.lcr.nl"
6,"www.bvekennis.nl"," ","http://www.bvekennis.nl"
7,"www.mboraad.nl"," ","http://www.mboraad.nl"
8,"Rijksoverheid","Informatie over beleid en regelgeving in Nederland omtrent arbeid en inkomen","https://www.rijksoverheid.nl/onderwerpen/participatiewet"
9,"UWV","Informatie over beoordeling arbeidsvermogen en uitkeringen","http://www.uwv.nl/"
10,"Nederlands Jeugd Instituut","Kennis over jeugd-, onderwijs- en opvoedingsvraagstukken","http://www.nji.nl/"
11,"Kennisnet jeugd","Platform voor het delen van kennis en informatie over jeugd-, onderwijs- en opvoedingsvraagstukken","https://kennisnetjeugd.nl/"
12,"Landelijke expertise centrum speciaal onderwijs","Informatie over het speciaal onderwijs. Informatie over passend onderwijs, onderwijs en zorg, onderwijskwaliteit en arbeidstoeleiding","https://www.lecso.nl/"
13,"Kenniscentrum LVB","Informatie over de persoonlijke ontwikkeling, opvoedingssituatie en maatschappelijke participatie van mensen met een licht verstandelijke beperking.","http://www.kenniscentrumlvb.nl/"
14,"Het Kenniscentrum Arbeidstoeleiding Nederland","Informatie omtrent arbeidstoeleiding van jongeren uit het speciaal onderwijs","http://www.hetkan.info/"
15,"Divosa","Informatie over vraagstukken in het bredere sociaal domein","http://www.divosa.nl/"
16,"Ingrado","Informatie over leerplicht en RMC (voortijdig schoolverlaten).","http://www.ingrado.nl/"
17,"Landelijke clienten raad","Informatie over wetten en regels over werk en inkomen en clientenparticipatie","http://www.landelijkeclientenraad.nl"
18,"MEE","Informatie over ondersteuning van mensen met een beperking en hun netwerk op alle leefgebieden en in alle levensfasen.","http://www.mee.nl/"
